stock_code,description,units_sold,sales_value,units_cancelled,cancelled_value,cancelled_orders,cancellation_rate
16225,RATTLE SNAKE EGGS,813,689.35,0,0,0,0
16235,RECYCLED PENCIL WITH RABBIT ERASER,3068,695.4,1,0.21,1,3.2583903551645487e-4
16236,KITTY PENCIL ERASERS,1438,320.09,0,0,0,0
16237,SLEEPING CAT ERASERS,4931,1035.33,60,12.6,1,0.012021638950110198
16238,PARTY TIME PENCIL ERASERS,1396,321.67,0,0,0,0
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,7.85,0,0,0,0
16248B,BLUE HOLE PUNCH,13,16.25,0,0,0,0
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,40,42.58,0,0,0,0
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,471,178.54999999999998,1,0.42,1,0.00211864406779661
16259,PIECE OF CAMO STATIONERY SET,3272,317.92,108,8.64,1,0.03195266272189349
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,20.88,0,0,0,0
17003,BROCADE RING PURSE,23020,6025.95,3,172.8,3,1.303044781305651e-4
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,50.400000000000006,0,0,0,0
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,81,66.36,0,0,0,0
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,323,375.93,0,0,0,0
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,525,595.85,0,0,0,0
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,420,481.79999999999995,0,0,0,0
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,461,547.24,0,0,0,0
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,44,62.64,0,0,0,0
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,448,530.6,0,0,0,0
17013D,ORIGAMI ROSE INCENSE IN TUBE,535,267.82,0,0,0,0
17014A,ORIGAMI VANILLA INCENSE CONES,155,71.19,0,0,0,0
17021,NAMASTE SWAGAT INCENSE,2391,632.34,0,0,0,0
17028J,INCENSE BAZAAR PEACH,6,2.52,0,0,0,0
17038,PORCELAIN BUDAH INCENSE HOLDER,1525,158.06,0,0,0,0
17084A,TRANQUILITY MASALA INCENSE,200,42,0,0,0,0
17084J,LOVE POTION MASALA INCENSE,225,47.25,0,0,0,0
17084N,FAIRY DREAMS INCENSE,1264,313.31,0,0,0,0
17084P,DRAGONS BLOOD INCENSE,423,104.44,0,0,0,0
17084R,ASSORTED INCENSE PACK,4032,760.3199999999999,0,0,0,0
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,107.44999999999999,0,0,0,0
17090D,VANILLA INCENSE 40 CONES IN TIN,29,36.25,0,0,0,0
17091A,LAVENDER INCENSE IN TIN,171,98.91,0,0,0,0
17091J,VANILLA INCENSE IN TIN,2084,920.67,0,0,0,0
17096,ASSORTED LAQUERED INCENSE HOLDERS,2545,455.9800000000001,0,0,0,0
17107D,FLOWER FAIRY 5 DRAWER LINERS,59,150.45,0,0,0,0
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.299999999999999,0,0,0,0
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,267.75,0,0,0,0
17109D,FLOWER FAIRY INCENSE BOUQUET,61,32.35,0,0,0,0
17129F,BLUE GLASS GEMS IN BAG,588,553.8299999999999,2,1.7,1,0.003389830508474576
17136A,BLUE STONES ON WIRE FOR CANDLE,352,29.59,0,0,0,0
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,27,11.34,0,0,0,0
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,28.35,0,0,0,0
17174,ASSTD RASTA KEY-CHAINS,9,3.7800000000000002,0,0,0,0
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,15,0,0,0,0
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5884,395.61,0,0,0,0
18094C,WHITE AND BLUE CERAMIC OIL BURNER,192,283.93,0,0,0,0
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,5,12.75,0,0,0,0
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,407,1029.4099999999999,292,571.8000000000001,2,0.4177396280400572
18098C,PORCELAIN BUTTERFLY OIL BURNER,265,921.87,0,0,0,0
20615,BLUE POLKADOT PASSPORT COVER,309,466.99,0,0,0,0
20616,CHERRY BLOSSOM PASSPORT COVER,194,243.53,0,0,0,0
20617,FIRST CLASS PASSPORT COVER,93,194.94,0,0,0,0
20618,QUEEN OF THE SKIES PASSPORT COVER,148,286.39,0,0,0,0
20619,TROPICAL PASSPORT COVER,262,439.65,0,0,0,0
20622,VIP PASSPORT COVER,43,94.04,0,0,0,0
20622,VIPPASSPORT COVER,142,209.66,0,0,0,0
20652,BLUE POLKADOT LUGGAGE TAG,265,346.86,0,0,0,0
20653,CHERRY BLOSSOM LUGGAGE TAG,73,95.17999999999999,0,0,0,0
20654,FIRST CLASS LUGGAGE TAG,152,193.59,0,0,0,0
20655,QUEEN OF SKIES LUGGAGE TAG,197,292.29,0,0,0,0
20657,TROPICAL LUGGAGE TAG,73,105.91,0,0,0,0
20658,RED RETROSPOT LUGGAGE TAG,421,637.11,12,15,1,0.02771362586605081
20659,ECONOMY LUGGAGE TAG,158,246.84,0,0,0,0
20661,BLUE POLKADOT PURSE,44,141.15,0,0,0,0
20662,FIRST CLASS HOLIDAY PURSE,31,90.42,0,0,0,0
20663,QUEEN OF THE SKIES HOLIDAY PURSE,25,66.25999999999999,0,0,0,0
20664,TROPICAL HOLIDAY PURSE,32,81.66,0,0,0,0
20665,RED RETROSPOT PURSE,461,1546.2700000000002,0,0,0,0
20666,ECONOMY HOLIDAY PURSE,30,41.53,0,0,0,0
20667,CHERRY BLOSSOM PURSE,20,49.69,0,0,0,0
20668,DISCO BALL CHRISTMAS DECORATION,12883,1501.4,0,0,0,0
20669,RED HEART LUGGAGE TAG,304,447.34,0,0,0,0
20670,VIP HOLIDAY PURSE,14,44.04,0,0,0,0
20671,BLUE TEATIME PRINT BOWL,10,12.5,0,0,0,0
20674,GREEN POLKADOT BOWL,1563,2016.23,6,7.5,1,0.0038240917782026767
20675,BLUE POLKADOT BOWL,3116,3978.1200000000003,12,15,2,0.0038363171355498722
20676,RED RETROSPOT BOWL,5011,6359.81,22,27.5,3,0.004371150407311742
20677,PINK POLKADOT BOWL,3669,4741.09,5,6.25,1,0.0013609145345672292
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,0,0,0,0
20679,EDWARDIAN PARASOL RED,1704,9985.720000000001,9,53.550000000000004,3,0.005253940455341506
20681,PINK POLKADOT CHILDRENS UMBRELLA,139,503.71,2,6.5,2,0.014184397163120567
20682,RED RETROSPOT CHILDRENS UMBRELLA,1234,4168.08,20,65,6,0.01594896331738437
20684,STRAWBERRY DREAM CHILDS UMBRELLA,80,270.56,0,0,0,0
20685,DOORMAT RED RETROSPOT,4033,27665.87,66,461.22,7,0.016101488167845818
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,267,922.67,0,0,0,0
20694,FLORAL PINK MONSTER,43,187.54,0,0,0,0
20695,FLORAL BLUE MONSTER,5,21.25,0,0,0,0
20696,FLORAL SOFT CAR TOY,54,230.81,0,0,0,0
20697,LITTLE GREEN MONSTER SOFT TOY,19,48.449999999999996,0,0,0,0
20698,LITTLE PINK MONSTER SOFT TOY,17,43.349999999999994,0,0,0,0
20699,MOUSEY LONG LEGS SOFT TOY,97,266.03,0,0,0,0
20700,GREEN CAT FLORAL CUSHION COVER,73,345.17,0,0,0,0
20701,PINK CAT FLORAL CUSHION COVER,25,100.97,0,0,0,0
20702,PINK PADDED MOBILE,134,573.54,0,0,0,0
20704,MR ROBOT SOFT TOY,216,697.7,4,27.8,1,0.01818181818181818
20705,MRS ROBOT SOFT TOY,143,428.85,1,1.95,1,0.006944444444444444
20707,CRAZY DAISY HEART DECORATION,464,468.39,1,1.25,1,0.002150537634408602
20711,JUMBO BAG TOYS,4997,10995.12,22,40.31,7,0.004383343295477187
20712,JUMBO BAG WOODLAND ANIMALS,9543,21685.920000000002,240,426.46,9,0.024532352039251762
20713,JUMBO BAG OWLS,11289,22754.16,243,431.43,6,0.021071800208116546
20716,PARTY FOOD SHOPPER BAG,400,469.63,0,0,0,0
20717,STRAWBERRY SHOPPER BAG,2833,3534.48,22,27.5,2,0.007705779334500876
20718,RED RETROSPOT SHOPPER BAG,4748,6578.04,35,42.99,5,0.007317583106836713
20719,WOODLAND CHARLOTTE BAG,13230,16697.35,112,87.39999999999999,8,0.008394543546694649
20723,STRAWBERRY CHARLOTTE BAG,9783,12539.65,75,62.71,12,0.007608034083992696
20724,RED RETROSPOT CHARLOTTE BAG,17651,21692.89,223,170.31,16,0.012476222446010966
20725,LUNCH BAG RED RETROSPOT,18788,34919.76,574,854.7,43,0.02964569775849602
20725,LUNCH BAG RED SPOTTY,200,290,0,0,0,0
20726,LUNCH BAG WOODLAND,9848,18183.13,82,134.9,19,0.00825780463242699
20727,LUNCH BAG  BLACK SKULL.,12133,22244.66,128,202.2,22,0.010439605252426393
20728,LUNCH BAG CARS BLUE,11744,21630.18,214,327.5,23,0.017895969225623014
20731,POSY CANDY BAG,92,109.96,0,0,0,0
20733,GOLD MINI TAPE MEASURE,934,740.36,300,216,1,0.24311183144246354
20734,SILVER MINI TAPE MEASURE,158,271.21999999999997,0,0,0,0
20735,BLACK MINI TAPE MEASURE,623,625.8,0,0,0,0
20748,KENSINGTON COFFEE SET,57,751.17,0,0,0,0
20749,ASSORTED COLOUR MINI CASES,1757,12510.82,8,63.6,6,0.004532577903682719
20750,RED RETROSPOT MINI CASES,1743,12603.18,6,47.7,4,0.003430531732418525
20751,FUNKY WASHING UP GLOVES ASSORTED,971,2041.5200000000002,1,2.1,1,0.00102880658436214
20752,BLUE POLKADOT WASHING UP GLOVES,406,918.35,2,4.2,2,0.004901960784313725
20754,RETROSPOT RED WASHING UP GLOVES,1456,3086.76,1,2.1,1,6.863417982155113e-4
20755,BLUE PAISLEY POCKET BOOK,306,271.16999999999996,0,0,0,0
20756,GREEN FERN POCKET BOOK,63,53.55,0,0,0,0
20757,RED DAISY POCKET BOOK,158,136.64,0,0,0,0
20758,ABSTRACT CIRCLES POCKET BOOK,159,135.15,0,0,0,0
20759,CHRYSANTHEMUM POCKET BOOK,64,54.4,0,0,0,0
20760,GARDEN PATH POCKET BOOK,69,58.65,0,0,0,0
20761,BLUE PAISLEY SKETCHBOOK,120,505.97,0,0,0,0
20762,GREEN FERN SKETCHBOOK,106,420.08,0,0,0,0
20763,DAISY SKETCHBOOK,73,205.04,0,0,0,0
20764,ABSTRACT CIRCLES SKETCHBOOK,142,603.31,0,0,0,0
20765,CHRYSANTHEMUM SKETCHBOOK,102,416.05,0,0,0,0
20766,GARDEN PATH SKETCHBOOK,122,493.57,0,0,0,0
20767,BLUE PAISLEY JOURNAL,250,656.06,0,0,0,0
20768,GREEN FERN JOURNAL,176,438.57,0,0,0,0
20769,DAISY JOURNAL,80,217.56,0,0,0,0
20770,ABSTRACT CIRCLE JOURNAL,184,447.25,0,0,0,0
20771,CHRYSANTHEMUM  JOURNAL,102,267.13,0,0,0,0
20772,GARDEN PATH JOURNAL,246,618.64,1,2.55,1,0.004048582995951417
20773,BLUE PAISLEY NOTEBOOK,56,92.39999999999999,0,0,0,0
20774,GREEN FERN NOTEBOOK,86,141.23999999999998,0,0,0,0
20775,DAISY NOTEBOOK,134,233.54,0,0,0,0
20777,CHRYSANTHEMUM NOTEBOOK,169,282.48999999999995,0,0,0,0
20778,GARDEN PATH NOTEBOOK,15,24.749999999999996,0,0,0,0
20780,BLACK EAR MUFF HEADPHONES,47,312.7,0,0,0,0
20781,GOLD EAR MUFF HEADPHONES,35,212.26,1,5.49,1,0.027777777777777776
20782,CAMOUFLAGE EAR MUFF HEADPHONES,53,368.08,0,0,0,0
20785,FUSCHIA RETRO BAR STOOL,14,523.3000000000001,0,0,0,0
20793,BLUE TILED TRAY,3,20.25,5,33.75,1,0.625
20794,BLUE  TILE HOOK,91,262.39,9,22.95,2,0.09
20795,LARGE BLUE PROVENCAL CERAMIC BALL,49,113.05000000000001,6,12.6,2,0.10909090909090909
20796,SMALL BLUE PROVENCAL CERAMIC BALL,62,103.94,0,0,0,0
20798,CLEAR MILKSHAKE GLASS,36,75.60000000000001,4,6.6,1,0.1
20801,LARGE PINK GLASS SUNDAE DISH,997,1145.8,32,24,2,0.031098153547133137
20802,SMALL GLASS SUNDAE DISH CLEAR,739,984.4699999999999,39,20.07,2,0.05012853470437018
20803,SMALL PINK GLASS SUNDAE DISH,903,461.26,68,28.56,2,0.07003089598352215
20816,GOLD FLOWER CUSHION COVER,8,15.6,0,0,0,0
20818,GOLD TEDDY BEAR,15,42.7,0,0,0,0
20819,SILVER TEDDY BEAR,64,244.72,0,0,0,0
20820,SILVER LOOKING MIRROR,5,24.75,0,0,0,0
20821,GOLDIE LOOKING MIRROR,11,54.45,12,59.400000000000006,2,0.5217391304347826
20823,GOLD WINE GOBLET,164,129.56,0,0,0,0
20826,SILVER APERITIF GLASS,276,128.4,0,0,0,0
20827,GOLD APERITIF GLASS,88,34.32,0,0,0,0
20828,GLITTER BUTTERFLY CLIPS,1128,3074.7799999999997,0,0,0,0
20829,GLITTER HANGING BUTTERFLY STRING,1312,2718.75,120,205.26,6,0.08379888268156424
20830,SILVER PHOTO FRAME,136,409.83,1,2.1,1,0.0072992700729927005
20831,GOLD PHOTO FRAME,216,466.53000000000003,0,0,0,0
20832,RED FLOCK LOVE HEART PHOTO FRAME,1067,572.67,1,0.85,1,9.363295880149813e-4
20835,FRENCH LATTICE CUSHION COVER,67,65.8,0,0,0,0
20836,FRENCH PAISLEY CUSHION COVER,158,131.14,12,9.959999999999999,1,0.07058823529411765
20837,FRENCH FLORAL CUSHION COVER,141,142.47,0,0,0,0
20838,FRENCH LATTICE CUSHION COVER,373,451.25,12,10.2,1,0.03116883116883117
20839,FRENCH PAISLEY CUSHION COVER,575,840.4399999999999,0,0,0,0
20840,FRENCH FLORAL CUSHION COVER,521,622.12,12,10.2,1,0.0225140712945591
20845,ZINC HEART LATTICE 2 WALL PLANTER,19,120.64999999999999,0,0,0,0
20846,ZINC HEART LATTICE T-LIGHT HOLDER,716,957.32,0,0,0,0
20847,ZINC HEART LATTICE CHARGER LARGE,52,217.58,0,0,0,0
20848,ZINC HEART LATTICE CHARGER SMALL,21,61.95,0,0,0,0
20851,ZINC HEART LATTICE TRAY OVAL,9,53.550000000000004,0,0,0,0
20854,BLUE PATCH PURSE PINK HEART,228,359.91999999999996,14,23.099999999999998,1,0.05785123966942149
20856,DENIM PATCH PURSE PINK BUTTERFLY,206,340.78999999999996,10,16.5,1,0.046296296296296294
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,17,28.049999999999997,15,24.75,1,0.46875
20860,GOLD COSMETICS BAG WITH BUTTERFLY,1,2.1,0,0,0,0
20861,GOLD COSMETIC BAG PINK STAR,2,4.2,0,0,0,0
20866,BLUE ROSE FABRIC MIRROR,477,582.5,120,127.2,1,0.20100502512562815
20867,PINK ROSE FABRIC MIRROR,331,393.46999999999997,0,0,0,0
20868,SILVER FABRIC MIRROR,458,219.35000000000002,0,0,0,0
20869,GOLD FABRIC MIRROR,180,86.76,0,0,0,0
20871,OPULENT VELVET SET/3 CANDLES,2,8.42,0,0,0,0
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,24,30,0,0,0,0
20886,BOX OF 9 PEBBLE CANDLES,479,974.53,6,11.7,1,0.012371134020618556
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,4,89.22,0,0,0,0
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,268,609.02,36,75.60000000000001,1,0.11842105263157894
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,33,108.71000000000001,0,0,0,0
20897,VINTAGE NOTEBOOK PARIS DAYS,101,280.57,12,35.400000000000006,2,0.10619469026548672
20898,VINTAGE NOTEBOOK TRAVELOGUE,32,88.03,6,17.700000000000003,1,0.15789473684210525
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,17,72.42999999999999,2,12.7,1,0.10526315789473684
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,112,686.86,0,0,0,0
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,82,441.89,0,0,0,0
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,8.850000000000001,0,0,0,0
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8,50.8,0,0,0,0
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6027,17500.45,107,300.85,34,0.01744375611346593
20914,SET/5 RED SPOTTY LID GLASS BOWLS,288,734.4,0,0,0,0
20931,BLUE POT PLANT CANDLE,298,1057.15,15,45.050000000000004,3,0.04792332268370607
20932,PINK POT PLANT CANDLE,204,628.7900000000001,10,29.5,2,0.04672897196261682
20933,YELLOW POT PLANT CANDLE,23,71.05,0,0,0,0
20934,SET/3 POT PLANT CANDLES,63,397.21,14,75.3,4,0.18181818181818182
20935,ROUND CACTUS CANDLE,6,17.700000000000003,0,0,0,0
20936,FORKED CACTUS CANDLE,100,319.66,1,2.95,1,0.009900990099009901
20941,FROG CANDLE,64,83.78,2,2.5,1,0.030303030303030304
20954,*USB Office Mirror Ball,2,16.94,0,0,0,0
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,822,1146.52,5,6.25,2,0.006045949214026602
20960,WATERMELON BATH SPONGE,29,72.49,0,0,0,0
20961,STRAWBERRY BATH SPONGE,1182,1682.93,50,62.5,1,0.040584415584415584
20963,APPLE BATH SPONGE,1336,1911.17,0,0,0,0
20964,POLYESTER FILLER PAD 60x40cm,2,5.1,0,0,0,0
20966,SANDWICH BATH SPONGE,719,1022.8,0,0,0,0
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,265,1027.94,0,0,0,0
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1816,6741.27,145,491.91,2,0.07394186639469659
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1115,4228.38,3,11.25,2,0.0026833631484794273
20971,PINK BLUE FELT CRAFT TRINKET BOX,9673,12424.34,1321,1405.01,4,0.12015644897216664
20972,PINK CREAM FELT CRAFT TRINKET BOX,7325,9113.06,24,30,2,0.003265750442237039
20973,12 PENCIL SMALL TUBE WOODLAND,4497,3210.27,4,2.6,2,8.886914019106865e-4
20974,12 PENCILS SMALL TUBE SKULL,6928,4496.2300000000005,566,367.9,3,0.07552708833733654
20975,12 PENCILS SMALL TUBE RED RETROSPOT,6513,4305.27,120,78,4,0.018091361374943465
20977,36 PENCILS TUBE WOODLAND,1675,2248.64,75,93.75,4,0.04285714285714286
20978,36 PENCILS TUBE SKULLS,1779,2375.05,16,20,1,0.008913649025069638
20979,36 PENCILS TUBE RED RETROSPOT,3637,4602.4800000000005,160,200,16,0.042138530418751645
20980,36 PENCILS TUBE POSY,79,76.91,9,11.25,1,0.10227272727272728
20981,12 PENCILS TALL TUBE WOODLAND,1961,1729.52,19,16.15,4,0.009595959595959595
20982,12 PENCILS TALL TUBE SKULLS,2150,1879.82,4,3.4,3,0.0018570102135561746
20983,12 PENCILS TALL TUBE RED RETROSPOT,2737,2374.81,7,5.95,3,0.002551020408163265
20984,12 PENCILS TALL TUBE POSY,3761,1159.11,24,6.959999999999999,1,0.006340819022457068
20985,HEART CALCULATOR,1167,1525.59,16,19.43,3,0.013524936601859678
20986,BLUE CALCULATOR RULER,654,829.74,0,0,0,0
20992,JAZZ HEARTS PURSE NOTEBOOK,4425,1944.6299999999999,0,0,0,0
20996,JAZZ HEARTS ADDRESS BOOK,3191,726.8900000000001,0,0,0,0
20997,ROSE DU SUD CUSHION COVER,59,257.61,0,0,0,0
20998,ROSE DU SUD OVEN GLOVE,185,505.20000000000005,0,0,0,0
21000,ROSE DU SUD COSMETICS BAG,96,360.84,0,0,0,0
21001,ROSE DU SUD WASHBAG,73,348.19,0,0,0,0
21002,ROSE DU SUD DRAWSTRING BAG,125,428.66,0,0,0,0
21003,ROSE DU SUD CUSHION COVER,78,460.58,0,0,0,0
21009,ETCHED GLASS STAR TREE DECORATION,1,1.25,0,0,0,0
21011,GLITTER SNOW PEAR TREE DECORATION,20,29,0,0,0,0
21012,ANTIQUE ALL GLASS CANDLESTICK,1169,2614.05,3,6.300000000000001,1,0.002559726962457338
21014,SWISS CHALET TREE DECORATION,1385,598.8199999999999,0,0,0,0
21015,DARK BIRD HOUSE TREE DECORATION,1483,589.55,4,1.16,1,0.0026899798251513113
21018,BIRD BOX CHRISTMAS TREE DECORATION,24,22.06,0,0,0,0
21025,SPACE FROG,174,233.52,0,0,0,0
21026,SPACE OWL,255,315.75,0,0,0,0
21027,NINJA RABBIT PINK,167,187.79,0,0,0,0
21028,NINJA RABBIT BLACK,187,239.24,0,0,0,0
21030,SPACE CADET RED,131,159.7,0,0,0,0
21031,SPACE CADET BLACK,52,64.24,0,0,0,0
21032,SPACE CADET WHITE,97,117.78,0,0,0,0
21033,JUMBO BAG CHARLIE AND LOLA TOYS,1932,4851.73,1,1.79,1,5.173305742369374e-4
21034,REX CASH+CARRY JUMBO SHOPPER,1867,1773.6499999999999,21,19.95,3,0.011122881355932203
21035,SET/2 RED RETROSPOT TEA TOWELS,2399,7986.85,200,550,2,0.07695267410542517
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,75,80.85000000000001,2,5.9,1,0.025974025974025976
21039,RED RETROSPOT SHOPPING BAG,517,1338.3899999999999,12,30.599999999999998,2,0.022684310018903593
21040,MODERN VINTAGE COTTON SHOPPING BAG,22,29.7,0,0,0,0
21041,RED RETROSPOT OVEN GLOVE DOUBLE,914,3888.98,3,8.850000000000001,3,0.003271537622682661
21042,RED RETROSPOT APRON,332,2187.6200000000003,6,34.4,5,0.01775147928994083
21043,APRON MODERN VINTAGE COTTON,492,1139.86,0,0,0,0
21051,RIBBONS PURSE,192,377.2,0,0,0,0
21054,NURSE'S BAG SOFT TOY,70,634.53,0,0,0,0
21055,TOOL BOX SOFT TOY,172,1710.9399999999998,6,53.699999999999996,1,0.033707865168539325
21056,DOCTOR'S BAG SOFT TOY,182,1747.5,2,17.9,2,0.010869565217391304
21058,PARTY INVITES WOODLAND,1142,955.4599999999999,12,10.2,1,0.010398613518197574
21059,PARTY INVITES DINOSAURS,599,518.03,12,10.2,1,0.019639934533551555
21060,PARTY INVITES BALLOON GIRL,405,359.28999999999996,0,0,0,0
