stock_code,description,units_cancelled,cancelled_value,cancelled_orders
85036C,ROSE 1 WICK MORRIS BOXED CANDLE,193,232.25,3
22574,HEART WOODEN CHRISTMAS DECORATION,192,138.24,1
23205,CHARLOTTE BAG VINTAGE ALPHABET,191,140.25,8
21731,RED TOADSTOOL LED NIGHT LIGHT,186,281.29999999999995,12
23204,CHARLOTTE BAG APPLES DESIGN,186,138.34,8
11001,ASSTD DESIGN RACING CAR PEN,185,237.04999999999998,5
21479,WHITE SKULL HOT WATER BOTTLE,185,635.9300000000001,4
23004,TRAVEL CARD WALLET PANTRY,184,77.28,4
22983,CARD BILLBOARD FONT,181,68.75999999999999,3
35924,HANGING FAIRY CAKE DECORATION,179,302.51,5
22791,T-LIGHT GLASS FLUTED ANTIQUE,177,192.75000000000003,10
22998,TRAVEL CARD WALLET KEEP CALM,177,74.34,11
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,176,134,6
84978,HANGING HEART JAR T-LIGHT HOLDER,175,206.59,30
84991,60 TEATIME FAIRY CAKE CASES,174,95.7,8
22418,10 COLOUR SPACEBOY PEN,172,146.2,8
23155,KNICKERBOCKERGLORY MAGNET ASSORTED,169,129.71,14
22027,TEA PARTY BIRTHDAY CARD,168,61.919999999999995,3
23318,BOX OF 6 MINI VINTAGE CRACKERS,168,368.71000000000004,7
22804,PINK HANGING HEART T-LIGHT HOLDER,164,419.8,3
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,163,89.29,4
20979,36 PENCILS TUBE RED RETROSPOT,160,200,16
22382,LUNCH BAG SPACEBOY DESIGN,159,242.35,13
22568,FELTCRAFT CUSHION OWL,158,540.6600000000001,7
79191C,RETRO PLASTIC ELEPHANT TRAY,158,134.29999999999998,13
21231,SWEETHEART CERAMIC TRINKET BOX,157,188.08,27
22933,BAKING MOULD EASTER EGG MILK CHOC,156,337.80000000000007,2
22720,SET OF 3 CAKE TINS PANTRY DESIGN,154,730.1,73
21671,RED SPOT CERAMIC DRAWER KNOB,152,214.81,14
22384,LUNCH BAG PINK POLKADOT,152,236.2,20
22956,36 FOIL HEART CAKE CASES,152,283.20000000000005,3
23300,GARDENERS KNEELING PAD CUP OF TEA,152,231.6,7
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,152,448.4,2
22666,RECIPE BOX PANTRY YELLOW DESIGN,151,421.05,47
22355,CHARLOTTE BAG SUKI DESIGN,150,113.59,12
22467,GUMBALL COAT RACK,147,337.5,30
20969,RED FLORAL FELTCRAFT SHOULDER BAG,145,491.91,2
22130,PARTY CONE CHRISTMAS DECORATION,145,104.52999999999999,2
22383,LUNCH BAG SUKI DESIGN,144,217.4,18
22593,CHRISTMAS GINGHAM STAR,144,103.67999999999999,1
22595,CHRISTMAS GINGHAM HEART,144,103.67999999999999,1
23228,FILIGREE HEART BIRD WHITE,144,149.76,1
84754,S/15 SILVER GLASS BAUBLES IN BAG,144,152.64000000000001,1
22697,GREEN REGENCY TEACUP AND SAUCER,143,393.05,42
22969,HOMEMADE JAM SCENTED CANDLES,140,185.79999999999998,8
21314,SMALL GLASS HEART TRINKET POT,139,270.15000000000003,40
22698,PINK REGENCY TEACUP AND SAUCER,138,387.5,35
22469,HEART OF WICKER SMALL,135,207.95,11
23200,JUMBO BAG PEARS,134,243.63000000000002,6
72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,134,516.7,10
21210,SET OF 72 RETROSPOT PAPER  DOILIES,133,173.65,5
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,133,112.49,3
21980,PACK OF 12 RED RETROSPOT TISSUES,132,38.28,3
22536,MAGIC DRAWING SLATE PURDEY,131,47.81999999999999,2
15056BL,EDWARDIAN PARASOL BLACK,130,652.5,5
22363,GLASS JAR MARMALADE,130,335.5,4
22738,RIBBON REEL SNOWY VILLAGE,130,190.5,2
84992,72 SWEETHEART FAIRY CAKE CASES,130,62.14,4
22111,SCOTTIE DOG HOT WATER BOTTLE,129,544.45,7
20727,LUNCH BAG  BLACK SKULL.,128,202.2,22
22112,CHOCOLATE HOT WATER BOTTLE,128,548.88,8
22838,3 TIER CAKE TIN RED AND CREAM,128,1671.6,14
23002,TRAVEL CARD WALLET SKULLS,128,53.76,8
22990,COTTON APRON PANTRY DESIGN,126,553.7,11
71459,HANGING JAM JAR T-LIGHT HOLDER,126,103.33,10
16169E,WRAP 50'S  CHRISTMAS,125,52.5,2
22752,SET 7 BABUSHKA NESTING BOXES,124,952.0000000000001,5
22865,HAND WARMER OWL DESIGN,123,258.05,11
22464,HANGING METAL HEART LANTERN,122,186.89999999999998,11
23581,JUMBO BAG PAISLEY PARK,122,224.76,4
22106,MIRROR MOSAIC HURRICANE LAMP,121,156.75,2
23250,VINTAGE RED TRIM ENAMEL BOWL,121,141.8,8
23582,VINTAGE DOILY JUMBO BAG RED,121,222.68,3
20829,GLITTER HANGING BUTTERFLY STRING,120,205.26,6
20866,BLUE ROSE FABRIC MIRROR,120,127.2,1
20975,12 PENCILS SMALL TUBE RED RETROSPOT,120,78,4
22932,BAKING MOULD TOFFEE CUP CHOCOLATE,120,262.8,2
22951,60 CAKE CASES DOLLY GIRL DESIGN,120,66,5
23215,JINGLE BELL HEART ANTIQUE SILVER,120,214.8,1
84012,MAGIC SHEEP WOOL GROWING FROM PAPER,120,102,1
21642,ASSORTED TUTTI FRUTTI PEN,118,46.54,6
22385,JUMBO BAG SPACEBOY DESIGN,118,215.14,4
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,117,545.5500000000001,35
23319,BOX OF 6 MINI 50'S CRACKERS,116,244.97,6
22963,JAM JAR WITH GREEN LID,115,90.86,12
23301,GARDENERS KNEELING PAD KEEP CALM,114,168.89999999999998,11
20719,WOODLAND CHARLOTTE BAG,112,87.39999999999999,8
22988,SOLDIERS EGG CUP,112,132.78,8
21399,BLUE POLKADOT COFFEE MUG,111,43.29,3
22866,HAND WARMER SCOTTY DOG DESIGN,111,209.10000000000002,5
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,110,859.35,16
23298,SPOTTY BUNTING,110,482.81000000000006,12
51014C,"FEATHER PEN,COAL BLACK",110,42.9,4
22571,ROCKING HORSE RED CHRISTMAS,109,80.17,3
16054,POPART RECT PENCIL SHARPENER ASST,108,12.959999999999999,1
16259,PIECE OF CAMO STATIONERY SET,108,8.64,1
21829,DINOSAUR KEYRINGS ASSORTED,108,22.68,1
23084,RABBIT NIGHT LIGHT,108,208.4,15
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,107,300.85,34
22156,HEART DECORATION WITH PEARLS,105,88.21,13
22360,GLASS JAR ENGLISH CONFECTIONERY,104,282,16
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,103,143.95,8
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,103,97.46,19
23165,LARGE CERAMIC TOP STORAGE JAR,102,154.5,18
23172,REGENCY TEA PLATE PINK,102,154.29999999999998,9
21977,PACK OF 60 PINK PAISLEY CAKE CASES,101,55.550000000000004,6
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,101,279.77,6
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,101,83.05,2
22389,PAPERWEIGHT SAVE THE PLANET,100,210,1
22501,PICNIC BASKET WICKER LARGE,100,873.2,17
85175,CACTI T-LIGHT CANDLES,98,41.160000000000004,4
23171,REGENCY TEA PLATE GREEN,97,146.25,5
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,96,81.6,1
22818,CARD CHRISTMAS VILLAGE,96,40.32,3
22892,SET OF SALT AND PEPPER TOADSTOOLS,96,115.19,17
22930,BAKING MOULD HEART MILK CHOCOLATE,96,201.60000000000002,1
23109,PACK OF SIX LED TEA LIGHTS,96,239.04000000000002,1
23351,ROLL WRAP 50'S CHRISTMAS,96,104.88,3
23355,HOT WATER BOTTLE KEEP CALM,96,417.6,8
35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,96,18.240000000000002,1
84535B,FAIRY CAKES NOTEBOOK A6 SIZE,95,61.75,2
84818,DANISH ROSE PHOTO FRAME,95,101.45,7
23169,CLASSIC GLASS COOKIE JAR,93,379.15000000000003,34
21873,IF YOU CAN'T STAND THE HEAT MUG,91,100.07000000000001,4
22979,PANTRY WASHING UP BRUSH,91,117.55,5
22915,ASSORTED BOTTLE TOP  MAGNETS,90,37.8,4
23245,SET OF 3 REGENCY CAKE TINS,90,421.5,37
21481,FAWN BLUE HOT WATER BOTTLE,88,239.6,7
23174,REGENCY SUGAR BOWL GREEN,88,345.2,17
23256,CHILDRENS CUTLERY SPACEBOY,88,338,8
23307,SET OF 60 PANTRY DESIGN CAKE CASES,88,48.400000000000006,5
21166,COOK WITH WINE METAL SIGN,87,161.1,11
21181,PLEASE ONE PERSON METAL SIGN,87,169.70000000000002,10
21703,BAG 125g SWIRLY MARBLES,87,36.54,6
21790,VINTAGE SNAP CARDS,85,72.25,3
21868,POTTING SHED TEA MUG,85,99.41,10
22962,JAM JAR WITH PINK LID,85,72.11999999999999,21
21668,RED STRIPE CERAMIC DRAWER KNOB,84,102.67,10
22398,MAGNETS PACK OF 4 SWALLOWS,84,105,4
22553,PLASTERS IN TIN SKULLS,84,138.6,7
22635,CHILDS BREAKFAST SET DOLLY GIRL,84,727.05,7
23225,CHERUB HEART DECORATION SILVER,84,69.72,4
51014L,"FEATHER PEN,LIGHT PINK",84,65.88,2
20726,LUNCH BAG WOODLAND,82,134.9,19
22114,HOT WATER BOTTLE TEA AND SYMPATHY,82,310.1,5
22333,RETROSPOT PARTY BAG + STICKER SET,82,135.29999999999998,12
22667,RECIPE BOX RETROSPOT,81,225.35000000000002,21
22980,PANTRY SCRUBBING BRUSH,81,124.04999999999998,6
85172,HYACINTH BULB T-LIGHT CANDLES,81,34.02,2
21669,BLUE STRIPE CERAMIC DRAWER KNOB,80,115.00999999999999,10
23175,REGENCY MILK JUG PINK,80,225.5,11
79321,CHILLI LIGHTS,80,349.7,6
84879,ASSORTED COLOUR BIRD ORNAMENT,80,135.2,12
22997,TRAVEL CARD WALLET UNION JACK,78,32.76,8
23006,TRAVEL CARD WALLET FLOWER MEADOW,78,32.76,5
23275,SET OF 3 HANGING OWLS OLLIE BEAK,77,95.41,4
22087,PAPER BUNTING WHITE LACE,76,223.8,8
22942,CHRISTMAS LIGHTS 10 SANTAS,76,604.35,12
23071,MARIE ANTOINETTE TRINKET BOX GOLD,76,434,4
20723,STRAWBERRY CHARLOTTE BAG,75,62.71,12
20977,36 PENCILS TUBE WOODLAND,75,93.75,4
22045,SPACEBOY GIFT WRAP,75,31.5,3
22098,BOUDOIR SQUARE TISSUE BOX,75,30.11,6
22207,FRYING PAN UNION FLAG,75,282.25,4
22502,PICNIC BASKET WICKER SMALL,75,385.25,9
22978,PANTRY ROLLING PIN,75,272.61,12
23230,WRAP ALPHABET DESIGN,75,31.5,3
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,75,98.75,8
22303,COFFEE MUG APPLES DESIGN,74,171.15,10
85152,HAND OVER THE CHOCOLATE   SIGN,74,135.22,3
23208,LUNCH BAG VINTAGE LEAF DESIGN,73,109.85,4
35970,ZINC FOLKART SLEIGH BELLS,73,121.17,6
85023B,EAU DE NILE JEWELLED PHOTOFRAME,73,153.75000000000003,2
21121,SET/10 RED POLKADOT PARTY CANDLES,72,90,3
21198,WHITE HEART CONFETTI IN TUBE,72,59.75999999999999,2
22090,PAPER BUNTING RETROSPOT,72,196.4,7
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,72,90,2
22935,BAKING MOULD ROSE MILK CHOCOLATE,72,198,1
22936,BAKING MOULD ROSE WHITE CHOCOLATE,72,198,1
23072,MARIE ANTOINETTE TRINKET BOX SILVER,72,384,2
23120,PACK OF 6 SMALL FRUIT STRAWS,72,30.240000000000002,2
51014A,"FEATHER PEN,HOT PINK",72,61.199999999999996,1
82583,HOT BATHS METAL SIGN,72,133.46,8
84378,SET OF 3 HEART COOKIE CUTTERS,72,90,4
21975,PACK OF 60 DINOSAUR CAKE CASES,71,36.06,3
22727,ALARM CLOCK BAKELIKE RED,71,266.25,30
23064,CINDERELLA CHANDELIER,71,1514.05,10
22153,ANGEL DECORATION STARS ON DRESS,70,29.400000000000002,3
21670,BLUE SPOT CERAMIC DRAWER KNOB,69,96.25,7
22231,JIGSAW TREE WITH BIRDHOUSE,69,95.05,9
22776,SWEETHEART CAKESTAND 3 TIER,69,643.05,29
37446,MINI CAKE STAND WITH HANGING CAKES,69,88.85,12
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,69,44.85,12
20803,SMALL PINK GLASS SUNDAE DISH,68,28.56,2
22138,BAKING SET 9 PIECE RETROSPOT,68,311.1,27
22439,6 ROCKET BALLOONS,68,44.2,3
22456,NATURAL SLATE CHALKBOARD LARGE,68,326.8,32
22470,HEART OF WICKER LARGE,68,189.5,16
22993,SET OF 4 PANTRY JELLY MOULDS,68,85,9
21915,RED  HARMONICA IN BOX,67,83.75,9
22364,GLASS JAR DIGESTIVE BISCUITS,67,182.45000000000002,14
84029E,RED WOOLLY HOTTIE WHITE HEART.,67,256.45,6
20685,DOORMAT RED RETROSPOT,66,461.22,7
22556,PLASTERS IN TIN CIRCUS PARADE,66,108.89999999999999,10
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,66,133.5,4
22094,RED RETROSPOT TISSUE BOX,65,39.97,5
23494,VINTAGE DOILY DELUXE SEWING KIT,65,386.75,11
22232,JIGSAW TOADSTOOLS 3 PIECE,64,54.72,5
22379,RECYCLING BAG RETROSPOT,64,122.65,5
22778,GLASS CLOCHE SMALL,64,223.12,18
23108,SET OF 10 LED DOLLY LIGHTS,64,317.59999999999997,18
23198,PANTRY MAGNETIC  SHOPPING LIST,64,92.8,14
23309,SET OF 60 I LOVE LONDON CAKE CASES,64,35.2,4
23083,SET 6 PAPER TABLE LANTERN STARS,63,214.17000000000002,3
23322,LARGE WHITE HEART OF WICKER,63,169.85,10
21258,VICTORIAN SEWING BOX LARGE,61,679.7499999999999,18
21530,DAIRY MAID TOASTRACK,61,48.190000000000005,8
21974,SET OF 36 PAISLEY FLOWER DOILIES,61,88.44999999999999,6
22580,ADVENT CALENDAR GINGHAM SACK,61,314.95000000000005,4
23154,SET OF 4 JAM JAR MAGNETS,61,126.88000000000001,3
16237,SLEEPING CAT ERASERS,60,12.6,1
21984,PACK OF 12 PINK PAISLEY TISSUES,60,17.4,2
22668,PINK BABY BUNTING,60,157,3
22938,CUPCAKE LACE PAPER SET 6,60,117,4
23077,DOUGHNUT LIP GLOSS,60,75,3
23158,SET OF 5 LUCKY CAT MAGNETS,60,124.8,3
23212,HEART WREATH DECORATION WITH BELL,60,75,3
23354,6 GIFT TAGS 50'S CHRISTMAS,60,49.8,3
84459A,PINK METAL CHICKEN HEART,60,89.39999999999999,3
84799,SPRIG LAVENDER ARTIFICIAL FLOWER,60,35.16,2
84826,ASSTD DESIGN 3D PAPER STICKERS,60,51,1
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,59,77.55,7
21810,CHRISTMAS HANGING STAR WITH BELL,59,73.75,2
22591,CARDHOLDER GINGHAM CHRISTMAS TREE,59,156.04999999999998,6
23206,LUNCH BAG APPLE DESIGN,59,97.15,13
23221,REINDEER HEART DECORATION SILVER,58,48.13999999999999,3
23251,VINTAGE RED ENAMEL TRIM MUG,58,72.5,5
84944,SET OF 6 KASHMIR FOLKART BAUBLES,58,95.69999999999999,2
15056N,EDWARDIAN PARASOL NATURAL,57,337.45,7
21733,RED HANGING HEART T-LIGHT HOLDER,57,152.95,13
21936,RED RETROSPOT PICNIC BAG,56,157.10000000000002,12
22083,PAPER CHAIN KIT RETROSPOT,56,165.20000000000002,5
22088,PAPER BUNTING COLOURED LACE,56,149.2,3
22128,PARTY CONES CANDY ASSORTED,56,70,3
37342,POLKADOT COFFEE CUP & SAUCER PINK,56,45.68,3
21537,RED RETROSPOT PUDDING BOWL,55,208.75,7
22637,PIGGY BANK RETROSPOT,55,136.2,23
22796,PHOTO FRAME 3 CLASSIC HANGING,55,524.05,22
23163,REGENCY SUGAR TONGS,55,114.4,2
23249,VINTAGE RED ENAMEL TRIM PLATE,55,87.71,7
21591,COSY HOUR CIGAR BOX MATCHES,54,67.5,2
22629,SPACEBOY LUNCH BOX,54,92.7,8
22810,SET OF 6 T-LIGHTS SNOWMEN,54,140.1,2
23168,CLASSIC CAFE SUGAR DISPENSER,54,65.61,18
71477,COLOURED GLASS STAR T-LIGHT HOLDER,54,197.46,7
22186,RED STAR CARD HOLDER,53,132.14999999999998,4
22766,PHOTO FRAME CORNICE,53,156.35000000000002,16
22867,HAND WARMER BIRD DESIGN,53,111.30000000000001,6
21845,DAIRY MAID STRIPE MUG,52,75.64,8
22299,PIG KEYRING WITH LIGHT & SOUND,52,65,3
22457,NATURAL SLATE HEART CHALKBOARD,52,152.60000000000002,17
22689,DOORMAT MERRY CHRISTMAS RED,52,354,2
22694,WICKER STAR,52,109.2,4
22907,PACK OF 20 NAPKINS PANTRY DESIGN,52,44.199999999999996,6
23173,REGENCY TEAPOT ROSES,52,436.40000000000003,13
47599B,BLUE PARTY BAGS,52,109.2,2
21238,RED RETROSPOT CUP,51,43.22,9
22621,TRADITIONAL KNITTING NANCY,51,64.75,4
22741,FUNKY DIVA PEN,51,43.349999999999994,3
22941,CHRISTMAS LIGHTS 10 REINDEER,51,429.25,20
23110,PARISIENNE KEY CABINET,51,293.25,28
23287,RED VINTAGE SPOT BEAKER,51,43.349999999999994,2
20961,STRAWBERRY BATH SPONGE,50,62.5,1
21167,WHITE SAGE INCENSE,50,10.5,1
21190,PINK HEARTS PAPER GARLAND,50,72.5,1
21498,RED RETROSPOT WRAP,50,21,2
22052,VINTAGE CARAVAN GIFT WRAP,50,21,2
22669,RED BABY BUNTING,50,127.49999999999999,1
22704,WRAP RED APPLES,50,21,2
22710,WRAP I LOVE LONDON,50,21,2
22711,WRAP CIRCUS PARADE,50,21,2
22730,ALARM CLOCK BAKELIKE IVORY,50,187.5,13
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,50,164.1,22
37449,CERAMIC CAKE STAND + HANGING CAKES,50,446.7,25
21122,SET/10 PINK POLKADOT PARTY CANDLES,49,61.25,3
21124,SET/10 BLUE POLKADOT PARTY CANDLES,49,61.25,3
21218,RED SPOTTY BISCUIT TIN,49,165.25,11
22263,FELT EGG COSY LADYBIRD,49,32.34,1
22781,GUMBALL MAGAZINE RACK,49,352.35,13
22995,TRAVEL CARD WALLET SUKI,49,20.580000000000002,3
23286,BLUE VINTAGE SPOT BEAKER,49,41.65,3
37495,FAIRY CAKE BIRTHDAY CANDLE SET,49,183.75,12
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,49,41.65,5
16219,HOUSE SHAPE PENCIL SHARPENER,48,2.88,1
21199,PINK  HEART CONFETTI IN TUBE,48,20.16,1
21213,PACK OF 72 SKULL CAKE CASES,48,26.400000000000002,1
21484,CHICK GREY HOT WATER BOTTLE,48,147.60000000000002,2
21811,HANGING HEART WITH BELL,48,18.72,1
21830,ASSORTED CREEPY CRAWLIES,48,20.16,2
22057,CERAMIC PLATE STRAWBERRY DESIGN,48,71.52,4
22155,STAR DECORATION RUSTIC,48,20.16,1
22211,WOOD STAMP SET FLOWERS,48,69.6,1
22535,MAGIC DRAWING SLATE BUNNIES,48,20.16,1
22537,MAGIC DRAWING SLATE DINOSAUR,48,20.16,1
22586,FELTCRAFT HAIRBAND PINK AND BLUE,48,40.8,2
22725,ALARM CLOCK BAKELIKE CHOCOLATE,48,180,13
23078,ICE CREAM PEN LIP GLOSS,48,60,2
23226,FILIGREE HEART DAISY WHITE,48,60,1
23267,SET OF 4 SANTA PLACE SETTINGS,48,60,1
47351B,BLUE  VOILE LAMPSHADE,48,122.39999999999999,1
84422,PINK/BLUE DISC/MIRROR STRING,48,18.72,1
84536B,FAIRY CAKES NOTEBOOK A7 SIZE,48,20.16,2
85230G,ORANGE VOTIVE CANDLE,48,13.919999999999998,1
23263,SET OF 3 WOODEN HEART DECORATIONS,47,58.75,5
23433,HANGING QUILTED PATCHWORK APPLES,47,39.01,3
21891,TRADITIONAL WOODEN SKIPPING ROPE,46,59.32,6
